step,native_loss,mori_loss
5,11.056550,11.056550
10,11.110868,11.110868
15,11.091245,11.091245
20,11.053947,11.053947
25,11.125942,11.125942
30,11.071662,11.071662
35,11.038200,11.038200
40,11.150709,11.150709
45,11.024789,11.024789
50,11.149323,11.149323
55,11.093224,11.093224
60,11.059204,11.059204
65,11.042061,11.042061
70,11.097533,11.097533
75,11.085835,11.085835
80,11.001960,11.001960
85,10.608568,10.608568
90,10.482648,10.482648
95,10.462100,10.462100
100,10.454423,10.454423
105,10.466361,10.466361
110,10.451502,10.451502
115,10.431813,10.431813
120,10.486911,10.486911
125,10.439996,10.439996
130,10.432615,10.432615
135,10.428904,10.428904
140,10.423329,10.423329
145,10.425684,10.425684
150,10.428890,10.428890
155,10.420262,10.420262
160,10.424459,10.424459
165,10.420005,10.420005
170,10.415198,10.415198
175,10.415887,10.415887
180,10.439404,10.439404
185,10.419936,10.419936
190,10.414042,10.414042
195,10.408988,10.408988
200,10.412635,10.412635
205,10.414392,10.414392
210,10.431414,10.431414
215,10.419351,10.419351
220,10.426434,10.426434
225,10.425734,10.425734
230,10.409653,10.409653
235,10.439339,10.439339
240,10.421317,10.421317
245,10.398472,10.398472
250,10.414646,10.414646
255,10.417610,10.417610
260,10.420110,10.420110
265,10.408531,10.408531
270,10.417700,10.417700
275,10.418205,10.418205
280,10.410354,10.410354
285,10.405777,10.405777
290,10.413412,10.413412
295,10.407798,10.407798
300,10.401942,10.401942
305,10.409913,10.409913
310,10.411578,10.411578
315,10.416896,10.416896
320,10.410246,10.410246
325,10.417995,10.417995
330,10.412692,10.412692
335,10.404508,10.404508
340,10.409002,10.409002
345,10.405272,10.405272
350,10.396426,10.396426
355,10.400418,10.400418
360,10.410520,10.410520
365,10.412429,10.412429
370,10.399417,10.399417
375,10.397747,10.397747
380,10.402036,10.402036
385,10.410472,10.410472
390,10.414874,10.414874
395,10.418283,10.418283
400,10.406141,10.406141
405,10.406618,10.406618
410,10.411079,10.411079
415,10.410490,10.410490
420,10.410180,10.410180
425,10.410049,10.410049
430,10.416072,10.416072
435,10.410398,10.410398
440,10.405985,10.405985
445,10.409744,10.409744
450,10.401978,10.401978
455,10.401290,10.401290
460,10.404170,10.404170
465,10.394443,10.394443
470,10.401308,10.401308
475,10.408751,10.408751
480,10.413774,10.413774
485,10.404832,10.404832
490,10.402088,10.402088
495,10.402368,10.402368
500,10.391944,10.391944
